feature_type,sum_abs_coef
Price Percentile,4.0963099216403
Min Price,3.608327891035
Max Price,2.9984706124919
First Price,0.5818699289744
Last Price,0.557952243818
Mean Price,0.41060026832
Volume Percentile,0.3056913712007
VWAP,0.22461371408
Price Volatility,0.2031998698802
Delta Price,0.117153386271
Min Volume,0.11438558869871
Trade Count,0.1090601434825
Sum Volume,0.092524606957
First Volume,0.0693019845873
Mean Volume,0.04962622519
Median Volume,0.040217264647999997
Max Volume,0.036871829992
Volume Volatility,0.036721847705
Momentum,0.0226318905572
Median Price,0.01690332422
Last Volume,0.013714164928
Delta Volume,0.013113432705
