quantile,rank,feature,coef,abs_coef
0.1,1,MinP_15_buy,0.252952768,0.252952768
0.1,2,MinP_full_buy,0.176911021,0.176911021
0.1,3,PctlP_45_5_sell,0.166337218,0.166337218
0.1,4,MinP_5_sell,0.0904504487,0.0904504487
0.1,5,FirstP_5_sell,0.0892960414,0.0892960414
0.1,6,FirstP_1_sell,0.0567317458,0.0567317458
0.1,7,MinP_180_buy,0.0329898763,0.0329898763
0.1,8,MinV_full_sell,-0.0265723779,0.0265723779
0.1,9,MinV_full_buy,-0.0219410549,0.0219410549
0.1,10,PriceVolatility_60_buy,-0.0160745393,0.0160745393
0.1,11,FirstP_15_sell,0.0157282065,0.0157282065
0.1,12,MaxP_1_sell,0.0141463694,0.0141463694
0.1,13,DeltaP_full_sell,0.0140241314,0.0140241314
0.1,14,PriceVolatility_full_sell,-0.0130473211,0.0130473211
0.1,15,MinP_15_sell,0.0122976468,0.0122976468
0.1,16,PriceVolatility_60_sell,-0.0103879538,0.0103879538
0.1,17,MinV_180_buy,-0.0090706419,0.0090706419
0.1,18,PctlV_90_60_buy,0.00904509003,0.00904509003
0.1,19,DeltaP_180_sell,0.00839115956,0.00839115956
0.1,20,PctlP_10_60_sell,0.00814236347,0.00814236347
0.1,21,PriceVolatility_180_sell,-0.00715258084,0.00715258084
0.1,22,SumV_full_buy,0.00708987575,0.00708987575
0.1,23,DeltaP_5_buy,0.00626123265,0.00626123265
0.1,24,PctlP_10_full_sell,0.00478888031,0.00478888031
0.1,25,SumV_60_buy,0.00415715962,0.00415715962
0.1,26,VolumeVolatility_5_buy,-0.00390551588,0.00390551588
0.1,27,PctlV_45_15_sell,-0.00356995765,0.00356995765
0.1,28,TradeCount_full_buy,0.00281540496,0.00281540496
0.1,29,TradeCount_60_buy,0.00228134118,0.00228134118
0.1,30,PctlV_75_180_sell,-0.00227244696,0.00227244696
0.1,31,PctlV_45_full_buy,-0.00222046796,0.00222046796
0.1,32,MaxV_60_sell,0.00216512947,0.00216512947
0.1,33,LastV_full_sell,0.00195410314,0.00195410314
0.1,34,FirstV_15_buy,-0.00193969406,0.00193969406
0.1,35,TradeCount_full_sell,0.00165766371,0.00165766371
0.1,36,MaxV_full_sell,0.00160251014,0.00160251014
0.1,37,MaxV_60_buy,0.00148184082,0.00148184082
0.1,38,DeltaP_180_buy,0.00144318513,0.00144318513
0.1,39,MinV_5_buy,0.00141844503,0.00141844503
0.1,40,PctlV_90_1_sell,0.00140043523,0.00140043523
0.1,41,SumV_1_sell,-0.0010947935,0.0010947935
0.1,42,Momentum_60_sell,0.000908374419,0.000908374419
0.1,43,PctlV_10_full_sell,-0.000776864983,0.000776864983
0.1,44,MeanV_full_sell,-0.00066462685,0.00066462685
0.1,45,PctlV_25_full_sell,-0.000417097369,0.000417097369
0.1,46,VolumeVolatility_15_sell,0.000330380648,0.000330380648
0.1,47,FirstV_full_buy,0.000226637851,0.000226637851
0.1,48,TradeCount_1_buy,-8.14348904e-05,8.14348904e-05
0.1,49,FirstV_15_sell,6.02681934e-05,6.02681934e-05
0.1,50,Momentum_60_buy,-5.20762706e-05,5.20762706e-05
0.5,1,MinP_5_buy,0.1888002,0.1888002
0.5,2,LastP_full_sell,0.18246817,0.18246817
0.5,3,PctlP_45_5_sell,0.15439559,0.15439559
0.5,4,LastP_180_buy,0.10743228,0.10743228
0.5,5,MaxP_1_sell,0.06313505,0.06313505
0.5,6,FirstP_1_sell,0.05104409,0.05104409
0.5,7,MinP_15_buy,0.04511814,0.04511814
0.5,8,PctlP_45_full_buy,0.03142746,0.03142746
0.5,9,FirstP_full_buy,0.0265691,0.0265691
0.5,10,PctlP_75_full_sell,0.02507281,0.02507281
0.5,11,MinP_60_buy,0.02060364,0.02060364
0.5,12,FirstP_60_sell,0.01752108,0.01752108
0.5,13,FirstP_5_sell,0.01586121,0.01586121
0.5,14,PctlP_45_180_buy,0.01134683,0.01134683
0.5,15,MaxP_60_buy,0.01109128,0.01109128
0.5,16,FirstP_180_buy,0.00729718,0.00729718
0.5,17,FirstP_60_buy,0.00203173,0.00203173
0.5,18,PctlP_90_full_buy,0.00095838,0.00095838
0.5,19,PctlP_90_180_buy,0.0009161,0.0009161
0.9,1,PctlP_75_60_buy,0.132457389,0.132457389
0.9,2,MaxP_180_sell,0.119847374,0.119847374
0.9,3,MaxP_1_sell,0.109323084,0.109323084
0.9,4,FirstP_15_buy,0.0910543548,0.0910543548
0.9,5,PctlP_10_1_sell,0.0876276155,0.0876276155
0.9,6,FirstP_full_buy,0.0747537645,0.0747537645
0.9,7,PctlP_45_180_buy,0.0644265125,0.0644265125
0.9,8,MinP_180_sell,0.0506896243,0.0506896243
0.9,9,LastP_180_buy,0.0448573435,0.0448573435
0.9,10,MaxP_5_buy,0.0443318858,0.0443318858
0.9,11,MinP_1_sell,0.0406530313,0.0406530313
0.9,12,PctlP_75_5_buy,0.0368130438,0.0368130438
0.9,13,MinP_full_sell,0.0329280751,0.0329280751
0.9,14,PriceVolatility_180_sell,0.030069545,0.030069545
0.9,15,PctlP_75_full_buy,0.0274501728,0.0274501728
0.9,16,PctlP_55_60_buy,0.026016335,0.026016335
0.9,17,PctlP_45_full_buy,0.0253823541,0.0253823541
0.9,18,MaxP_full_sell,0.0252669073,0.0252669073
0.9,19,FirstP_60_sell,0.0243288743,0.0243288743
0.9,20,PctlP_55_full_sell,-0.0237734156,0.0237734156
