quantile,rank,feature,coef,abs_coef
0.1,1,MinP_1_sell,0.20052844,0.20052844
0.1,2,PctlP_10_180_buy,0.11825124,0.11825124
0.1,3,MinP_15_buy,0.10776234,0.10776234
0.1,4,PctlP_10_full_buy,0.09595674,0.09595674
0.1,5,MinP_180_buy,0.07042349,0.07042349
0.1,6,MinP_5_buy,0.0569565,0.0569565
0.1,7,PctlP_10_60_buy,0.04463757,0.04463757
0.1,8,PctlP_10_180_sell,0.03495346,0.03495346
0.1,9,MinP_180_sell,0.03309404,0.03309404
0.1,10,MinP_5_sell,0.02829601,0.02829601
0.1,11,PctlP_10_full_sell,0.01634392,0.01634392
0.1,12,TradeCount_full_buy,0.00773824,0.00773824
0.5,1,MeanP_full_buy,0.14136561,0.14136561
0.5,2,LastP_full_sell,0.13498164,0.13498164
0.5,3,VWAP_1_buy,0.11305745,0.11305745
0.5,4,VWAP_180_sell,0.08522989,0.08522989
0.5,5,MeanP_15_buy,0.08183618,0.08183618
0.5,6,MeanP_60_buy,0.06226319,0.06226319
0.5,7,MinP_15_buy,0.05551153,0.05551153
0.5,8,MeanP_full_sell,0.05212159,0.05212159
0.5,9,MeanP_1_sell,0.04211728,0.04211728
0.5,10,LastP_15_buy,0.03188434,0.03188434
0.5,11,FirstP_full_buy,0.03059598,0.03059598
0.5,12,VWAP_1_sell,0.01837467,0.01837467
0.5,13,FirstP_1_sell,0.01589646,0.01589646
0.5,14,PctlP_10_5_buy,0.01521451,0.01521451
0.5,15,MaxP_15_sell,0.01435838,0.01435838
0.5,16,PctlP_55_full_sell,0.00817727,0.00817727
0.5,17,PctlP_75_60_sell,0.00550996,0.00550996
0.9,1,MaxP_1_buy,0.22821423,0.22821423
0.9,2,MaxP_180_buy,0.148471019,0.148471019
0.9,3,MaxP_180_sell,0.134780347,0.134780347
0.9,4,MaxP_1_sell,0.131489413,0.131489413
0.9,5,MaxP_full_buy,0.109148277,0.109148277
0.9,6,PctlP_90_full_buy,0.0957229261,0.0957229261
0.9,7,PctlP_90_full_sell,0.0502194216,0.0502194216
0.9,8,LastP_60_sell,0.0369128513,0.0369128513
0.9,9,FirstP_full_buy,0.0228019755,0.0228019755
0.9,10,PctlP_90_15_buy,0.0218857247,0.0218857247
0.9,11,SumV_full_sell,-0.0133084847,0.0133084847
0.9,12,MaxP_60_sell,0.0100133218,0.0100133218
0.9,13,LastP_full_buy,0.00612455381,0.00612455381
0.9,14,PctlV_90_full_sell,-0.00428254907,0.00428254907
0.9,15,TradeCount_full_sell,-0.00362614868,0.00362614868
0.9,16,TradeCount_full_buy,-0.00300027456,0.00300027456
0.9,17,MaxV_full_sell,-0.00245955249,0.00245955249
0.9,18,TradeCount_180_sell,-0.00137898247,0.00137898247
0.9,19,TradeCount_180_buy,-0.000112535983,0.000112535983
