quantile,rank,feature,coef,abs_coef
0.1,1,MinP_15_buy,0.67525412,0.67525412
0.1,2,MinP_60_buy,0.197042134,0.197042134
0.1,3,MinP_full_buy,0.0513309273,0.0513309273
0.1,4,MaxP_full_sell,-0.0497853179,0.0497853179
0.1,5,FirstP_1_sell,0.0145351747,0.0145351747
0.1,6,LastP_5_sell,0.0129452126,0.0129452126
0.1,7,PctlP_10_15_buy,0.0127938476,0.0127938476
0.1,8,MedianP_5_sell,0.0121918214,0.0121918214
0.1,9,PctlP_10_full_sell,0.00598303648,0.00598303648
0.1,10,PriceVolatility_full_sell,-0.00578789777,0.00578789777
0.1,11,MinP_60_sell,-0.00423575448,0.00423575448
0.1,12,SumV_15_buy,0.00396455355,0.00396455355
0.1,13,PriceVolatility_60_buy,0.00380642883,0.00380642883
0.1,14,PctlV_10_60_sell,-0.00333278757,0.00333278757
0.1,15,TradeCount_1_sell,0.00324959999,0.00324959999
0.1,16,PctlP_90_5_sell,0.00293167877,0.00293167877
0.1,17,SumV_full_sell,-0.00267410743,0.00267410743
0.1,18,PctlV_75_180_buy,-0.00252814331,0.00252814331
0.1,19,FirstV_1_buy,-0.00222400558,0.00222400558
0.1,20,PriceVolatility_180_sell,0.00217481972,0.00217481972
0.1,21,TradeCount_1_buy,0.00207875805,0.00207875805
0.1,22,PctlV_75_full_sell,-0.00202383566,0.00202383566
0.1,23,MaxV_full_sell,0.0019963547,0.0019963547
0.1,24,PctlP_25_5_buy,0.00189136704,0.00189136704
0.1,25,MinP_180_sell,-0.00189134244,0.00189134244
0.1,26,FirstV_5_buy,-0.00183482697,0.00183482697
0.1,27,TradeCount_60_sell,-0.00177705693,0.00177705693
0.1,28,Momentum_5_sell,-0.00171057447,0.00171057447
0.1,29,PriceVolatility_1_buy,-0.00165862135,0.00165862135
0.1,30,MinP_full_sell,0.00163337346,0.00163337346
0.1,31,PctlP_10_60_sell,0.00152252381,0.00152252381
0.1,32,TradeCount_15_sell,-0.00133634535,0.00133634535
0.1,33,DeltaP_1_buy,0.00130530002,0.00130530002
0.1,34,TradeCount_full_sell,-0.00124469885,0.00124469885
0.1,35,MinP_5_sell,0.000985094604,0.000985094604
0.1,36,MaxV_180_buy,0.000936394294,0.000936394294
0.1,37,Momentum_180_sell,-0.000816536475,0.000816536475
0.1,38,PctlV_10_5_buy,-0.000745353802,0.000745353802
0.1,39,VolumeVolatility_5_sell,0.000712170013,0.000712170013
0.1,40,MinV_5_sell,0.000538751954,0.000538751954
0.1,41,DeltaP_15_sell,0.000523601568,0.000523601568
0.1,42,PctlV_25_1_buy,-0.000521980305,0.000521980305
0.1,43,DeltaP_180_buy,0.000455484317,0.000455484317
0.1,44,DeltaP_full_sell,0.000437717798,0.000437717798
0.1,45,PctlV_10_180_sell,-0.000423618407,0.000423618407
0.1,46,PctlV_75_60_buy,0.00041678604,0.00041678604
0.1,47,MaxV_1_sell,-0.000408616739,0.000408616739
0.1,48,DeltaP_180_sell,0.000395673916,0.000395673916
0.1,49,DeltaV_5_sell,0.000377378163,0.000377378163
0.1,50,PctlV_90_full_sell,-0.000319817577,0.000319817577
0.1,51,LastV_full_sell,0.000283497861,0.000283497861
0.1,52,PctlV_45_60_sell,0.000253079285,0.000253079285
0.1,53,PctlV_10_15_buy,-0.000249834128,0.000249834128
0.1,54,Momentum_1_sell,-0.000246103143,0.000246103143
0.1,55,Momentum_5_buy,-0.000198571171,0.000198571171
0.1,56,FirstV_1_sell,0.0001849527,0.0001849527
0.1,57,SumV_180_sell,-0.000176454726,0.000176454726
0.1,58,FirstV_60_sell,0.000161927671,0.000161927671
0.1,59,FirstV_full_buy,0.0001500302,0.0001500302
0.1,60,FirstP_60_sell,7.92260544e-05,7.92260544e-05
0.1,61,Momentum_1_buy,-5.3811235e-05,5.3811235e-05
0.5,1,PctlP_90_5_sell,0.313400651,0.313400651
0.5,2,PctlP_10_15_buy,0.289685473,0.289685473
0.5,3,PctlP_75_15_sell,0.151705937,0.151705937
0.5,4,MinP_15_buy,0.138440111,0.138440111
0.5,5,PctlP_10_5_buy,0.0197207888,0.0197207888
0.5,6,PctlP_25_5_buy,0.0196118154,0.0196118154
0.5,7,MaxP_5_sell,0.0168700319,0.0168700319
0.5,8,PctlP_25_60_buy,0.0148406305,0.0148406305
0.5,9,MinP_60_buy,0.00876796647,0.00876796647
0.5,10,MedianP_60_buy,0.00471150282,0.00471150282
0.5,11,PctlP_75_5_buy,0.00304510998,0.00304510998
0.5,12,PctlP_25_15_sell,0.0018496585,0.0018496585
0.5,13,DeltaP_full_sell,0.00167200558,0.00167200558
0.5,14,TradeCount_1_buy,0.00166837954,0.00166837954
0.5,15,TradeCount_5_buy,0.00143747309,0.00143747309
0.5,16,DeltaP_1_buy,0.00110742358,0.00110742358
0.5,17,PctlP_75_15_buy,0.00110041492,0.00110041492
0.5,18,PriceVolatility_5_buy,-0.00109100727,0.00109100727
0.5,19,MaxV_full_buy,0.00102919487,0.00102919487
0.5,20,PctlP_90_1_sell,0.00102648721,0.00102648721
0.5,21,SumV_full_sell,-0.000959157701,0.000959157701
0.5,22,MedianV_60_buy,0.000890939172,0.000890939172
0.5,23,DeltaV_1_buy,0.000775993952,0.000775993952
0.5,24,PctlP_10_15_sell,0.000771577995,0.000771577995
0.5,25,PctlP_55_60_buy,0.000742800185,0.000742800185
0.5,26,PctlV_25_180_buy,0.000615657988,0.000615657988
0.5,27,MinP_full_buy,0.000520252219,0.000520252219
0.5,28,PctlV_45_1_sell,-0.000476147978,0.000476147978
0.5,29,PctlV_25_180_sell,0.000441118721,0.000441118721
0.5,30,PctlP_75_180_buy,0.000439904458,0.000439904458
0.5,31,PriceVolatility_1_buy,-0.00039138096,0.00039138096
0.5,32,PctlV_55_180_buy,0.000388823502,0.000388823502
0.5,33,MedianV_5_sell,-0.000378122581,0.000378122581
0.5,34,LastP_5_sell,0.000345852608,0.000345852608
0.5,35,Momentum_5_sell,-0.000344512747,0.000344512747
0.5,36,Momentum_15_sell,-0.000333679264,0.000333679264
0.5,37,PctlV_90_full_sell,-0.00029215929,0.00029215929
0.5,38,PctlV_10_full_buy,-0.000285910307,0.000285910307
0.5,39,PctlV_10_60_sell,-0.000284035762,0.000284035762
0.5,40,MedianV_15_sell,-0.000255395105,0.000255395105
0.5,41,MaxV_15_buy,0.000254189524,0.000254189524
0.5,42,PriceVolatility_15_buy,-0.000236931776,0.000236931776
0.5,43,PctlV_10_15_buy,-0.000216755842,0.000216755842
0.5,44,FirstV_full_buy,0.000192069336,0.000192069336
0.5,45,Momentum_60_sell,0.000169337405,0.000169337405
0.5,46,PctlV_90_5_sell,-0.000161443501,0.000161443501
0.5,47,Momentum_180_buy,0.000126170156,0.000126170156
0.5,48,MinV_1_buy,-6.54194939e-05,6.54194939e-05
0.5,49,FirstV_60_sell,5.60823419e-05,5.60823419e-05
0.5,50,PctlV_25_15_buy,-3.47362686e-05,3.47362686e-05
0.9,1,MaxP_15_sell,0.484231497,0.484231497
0.9,2,PctlP_10_full_buy,-0.2666689,0.2666689
0.9,3,PctlP_10_5_buy,0.257964119,0.257964119
0.9,4,MaxP_60_sell,0.186854236,0.186854236
0.9,5,MaxP_180_sell,0.174568309,0.174568309
0.9,6,PctlP_90_15_sell,0.120510991,0.120510991
0.9,7,PctlP_25_full_sell,-0.07586377,0.07586377
0.9,8,PctlP_90_full_sell,0.0537004374,0.0537004374
0.9,9,MaxP_5_sell,0.0524708608,0.0524708608
0.9,10,MinP_5_buy,0.0338126131,0.0338126131
0.9,11,MaxP_full_sell,0.0319235741,0.0319235741
0.9,12,PctlP_25_full_buy,-0.02295748,0.02295748
0.9,13,PctlP_90_5_sell,0.0145124788,0.0145124788
0.9,14,MeanV_5_buy,0.01346178,0.01346178
0.9,15,PctlP_45_5_sell,0.0132480045,0.0132480045
0.9,16,MaxP_60_buy,-0.00969452645,0.00969452645
0.9,17,PctlP_25_5_sell,-0.00919540335,0.00919540335
0.9,18,PctlV_25_180_buy,0.00891858553,0.00891858553
0.9,19,PctlP_10_full_sell,-0.00852693684,0.00852693684
0.9,20,PctlP_10_5_sell,-0.00758638775,0.00758638775
0.9,21,MeanV_180_sell,0.00757440233,0.00757440233
0.9,22,PctlP_10_15_sell,0.00752515684,0.00752515684
0.9,23,PctlP_25_5_buy,0.00737012134,0.00737012134
0.9,24,PctlV_45_180_sell,-0.00678360587,0.00678360587
0.9,25,MinP_180_buy,-0.00662370063,0.00662370063
0.9,26,SumV_15_sell,-0.00652356593,0.00652356593
0.9,27,FirstP_full_sell,-0.00627341969,0.00627341969
0.9,28,SumV_180_buy,-0.00603247396,0.00603247396
0.9,29,MaxP_180_buy,0.00586877565,0.00586877565
0.9,30,MedianV_full_sell,0.00565000544,0.00565000544
0.9,31,MinP_full_sell,0.00521010301,0.00521010301
0.9,32,MedianV_60_sell,0.00515661757,0.00515661757
0.9,33,PctlV_75_5_buy,-0.0048046998,0.0048046998
0.9,34,PctlV_55_full_sell,-0.00479788859,0.00479788859
0.9,35,PriceVolatility_180_sell,0.0047198345,0.0047198345
0.9,36,MinV_5_buy,-0.00456825095,0.00456825095
0.9,37,MedianV_15_buy,-0.00452602409,0.00452602409
0.9,38,PctlP_75_180_buy,0.0045014731,0.0045014731
0.9,39,VolumeVolatility_60_sell,-0.00444851437,0.00444851437
0.9,40,VolumeVolatility_1_buy,-0.00401476111,0.00401476111
0.9,41,PctlV_75_60_buy,0.00398388175,0.00398388175
0.9,42,MeanP_60_sell,0.00380332942,0.00380332942
0.9,43,PriceVolatility_15_sell,0.00373272243,0.00373272243
