quantile,rank,feature,coef,abs_coef
0.1,1,MinP_60_buy,0.584825732,0.584825732
0.1,2,MinP_180_buy,0.17467195,0.17467195
0.1,3,MaxP_1_sell,0.0421009319,0.0421009319
0.1,4,MeanP_5_sell,0.0270930889,0.0270930889
0.1,5,MinP_15_buy,0.0210931903,0.0210931903
0.1,6,TradeCount_180_buy,-0.0149805987,0.0149805987
0.1,7,MinP_full_sell,0.0127323515,0.0127323515
0.1,8,TradeCount_60_sell,-0.010054027,0.010054027
0.1,9,FirstP_5_sell,0.0041263974,0.0041263974
0.1,10,MinP_1_buy,0.00316328056,0.00316328056
0.1,11,PctlP_10_1_buy,0.00274164662,0.00274164662
0.1,12,MaxP_full_buy,-0.00273256923,0.00273256923
0.1,13,TradeCount_180_sell,-0.00238622355,0.00238622355
0.1,14,MaxP_180_buy,-0.000255261942,0.000255261942
0.5,1,PctlP_10_60_buy,0.394316548,0.394316548
0.5,2,PctlP_90_15_sell,0.22340149,0.22340149
0.5,3,MinP_15_buy,0.0734955577,0.0734955577
0.5,4,PctlP_45_60_sell,0.0597648627,0.0597648627
0.5,5,PctlP_25_60_buy,0.0481497653,0.0481497653
0.5,6,MaxP_5_sell,0.0438564059,0.0438564059
0.5,7,PctlP_90_1_sell,0.0210392214,0.0210392214
0.5,8,MaxP_1_sell,0.0167271659,0.0167271659
0.5,9,PctlP_75_15_sell,0.0159685257,0.0159685257
0.5,10,MinP_1_buy,0.0135195698,0.0135195698
0.5,11,VWAP_180_buy,0.00795170408,0.00795170408
0.5,12,MinP_full_sell,0.005210694,0.005210694
0.5,13,TradeCount_180_sell,-0.00219298299,0.00219298299
0.5,14,MinP_60_buy,0.000269748361,0.000269748361
0.5,15,PctlP_10_15_buy,5.02754473e-05,5.02754473e-05
0.9,1,MaxP_60_sell,0.538441465,0.538441465
0.9,2,PctlP_90_60_sell,0.158503077,0.158503077
0.9,3,MinP_1_buy,0.0774422427,0.0774422427
0.9,4,MaxP_15_sell,0.0769225417,0.0769225417
0.9,5,MaxP_180_sell,0.0746846879,0.0746846879
0.9,6,PctlP_25_15_buy,0.031086558,0.031086558
0.9,7,PctlP_90_15_sell,0.0248368082,0.0248368082
0.9,8,PctlP_90_1_sell,0.0146800367,0.0146800367
0.9,9,MaxP_full_sell,0.0112992094,0.0112992094
0.9,10,DeltaP_full_buy,0.00593366265,0.00593366265
0.9,11,FirstP_5_buy,0.00583385803,0.00583385803
0.9,12,DeltaP_full_sell,0.00546140769,0.00546140769
0.9,13,MeanV_full_buy,-0.00339298464,0.00339298464
0.9,14,TradeCount_180_buy,0.00309579553,0.00309579553
0.9,15,MinP_full_sell,0.00288442005,0.00288442005
0.9,16,PctlV_25_full_sell,-0.00252539086,0.00252539086
0.9,17,MedianV_full_sell,-0.00221034809,0.00221034809
0.9,18,PctlV_25_full_buy,-0.00181968652,0.00181968652
0.9,19,PctlV_75_full_buy,-0.00135139004,0.00135139004
0.9,20,MaxP_1_sell,0.00120856742,0.00120856742
0.9,21,FirstV_full_buy,0.000376225886,0.000376225886
